Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Єрченко,Ада,Іванівна,Жіноча,26.07.2008,Перекладач,село Рахів,"провулок Волниста, буд. 46, Кобеляки, 88065",+380 (35) 859-11-17,veniiamyn85@example.net
Демʼяненко,Нестор,Сергійович,Чоловіча,25.05.2000,Астроном,село Яремче,"площа Горизонтальна, буд. 72 кв. 05, Токмак, 26219",065 061-60-40,xishchenko@example.net
Гайденко,Ліза,Іванівна,Жіноча,01.01.1972,Стоматолог,село Миргород,"вулиця Сонячна, буд. 10 кв. 93, Погребище, 38414",250 87 01,diaremko@example.com
Акуленко,Аврелій,Іванович,Чоловіча,04.09.1953,Флорист,селище Моршин,"проспект Штильова, буд. 629, Кременець, 75742",+380 84 584 69 71,gsheremeta@example.org
Андрієвич,Степан,Андрійович,Чоловіча,13.06.1976,Пілот,хутір Городище ,"набережна 10-та Суворовська, буд. 65, Нова Одеса, 49664",094 845-34-45,pylypenkoleontii@example.net
Заруба,Амалія,Єгорівна,Жіноча,23.08.1977,Епідеміолог,селище Боково-Хрустальне,"провулок Палубний, буд. 774, Старий Крим, 45245",082-57-25,wsachenko@example.org
Гайворонський,Леонід,Петрович,Чоловіча,26.03.1995,Літературознавець,селище Кам'янка-Бузька,"провулок Авіаторів, буд. 13, Соледар, 10230",617-55-15,orkhypdavymuka@example.org
Євтушенко,Антон,Миколайович,Чоловіча,09.04.2005,Інженер,місто Луцьк,"узвіз Чорноморка, буд. 66, Роздільна, 38968",+380 89 691 82 36,alinakarpa@example.org
Чуприна,Анжела,Михайлівна,Жіноча,28.05.2007,Фольклорист,місто Березівка,"узвіз Колекційна, буд. 24 кв. 128, Радивилів, 37943",+380 28 780 05 40,yivasiuk@example.org
Бандура,Альбіна,Андріївна,Жіноча,07.08.1993,Кухар,село Білопілля,"набережна Капітана Гаврікова, буд. 7 кв. 916, Лутугине, 97132",+380 81 109-26-27,bohuslav44@example.net
Бандера,Панас,Дмитрович,Чоловіча,28.09.1988,Дизайнер,місто Борислав,"набережна Хімічний 1-й, буд. 73 кв. 337, Свалява, 05202",+380 76 166-45-08,azhazhaspas@example.com
Чубай,Дарина,Миколаївна,Жіноча,25.12.1939,Агроном,село Корець,"набережна Монгольська, буд. 306, Березівка, 48379",019 334-59-21,iefymenkomaryna@example.com
Демиденко,Ілля,Дмитрович,Чоловіча,28.02.1966,Графік,село Чорнобиль,"площа Амбулаторна, буд. 2 кв. 761, Амвросіївка, 42001",+380 28 668 16 17,etsymbal@example.com
Бабʼюк,Тереза,Іванівна,Жіноча,04.06.1941,Електромонтер,селище Кальміуське,"сквер Олександра Невського 5-й, буд. 74, Чортків, 87498",408 08 34,ikashchenko@example.com
Юрчук,Теодор,Петрович,Чоловіча,18.09.1938,Мірошник,село Харків,"сквер Джерельна, буд. 33 кв. 0, Черкаси, 36891",449 40 71,orynabaturynets@example.net
Андрусенко,Зорян,Михайлович,Чоловіча,24.02.1950,Кінолог,селище Армянськ,"провулок Західний 4-й, буд. 197 кв. 055, Чорноморськ, 40937",+380 35 990 87 96,demydenkomykyta@example.net
Токар,Альбіна,Андріївна,Жіноча,20.07.1967,Соціолог,місто Олешки,"площа Виноградна 3-тя, буд. 36, Червоноград, 51575",047 230-01-84,albina21@example.net
Даниленко,Олекса,Сергійович,Чоловіча,17.01.1940,Державний службовець,хутір Городок,"набережна Садова 4-та, буд. 672, Сєвєродонецьк, 83051",079 058-63-58,orynabashtan@example.org
Філіпенко,Єва,Дмитрівна,Жіноча,24.12.1973,Редактор,місто Ківерці,"шосе Нафтовиків 1-й, буд. 5 кв. 3, Берестечко, 47836",051 323-00-23,hordii09@example.org
Кармалюк,Демʼян,Іванович,Чоловіча,21.05.2003,Круп'є,хутір Чортків,"парк Павла Шклярука, буд. 4, Краматорськ, 84167",097-51-21,hunkoleon@example.net
Шамрай,Степан,Миколайович,Чоловіча,19.11.1972,Мікробіолог,селище Самбір,"сквер Вознесенський, буд. 3 кв. 534, Міусинськ, 74254",+380 58 590-34-26,drozdrozaliia@example.com
Бабʼюк,Теодор,Володимирович,Чоловіча,06.12.1950,Пілот,місто Глухів,"вулиця Ботанічний, буд. 209 кв. 85, Золотоноша, 95378",021 282 41 58,ielysavetazhalilo@example.com
Ґоляш,Соломон,Андрійович,Чоловіча,23.08.1985,Епідеміолог,місто Вінниця,"провулок Дальницька, буд. 8, Батурин, 49845",044 028 19 83,eromanets@example.org
Данченко,Роман,Миколайович,Чоловіча,10.03.2002,Пілот,хутір Шаргород,"проспект Карантинна, буд. 97, Алупка, 98654",014 444 34 36,kozachenkoirena@example.org
Семенченко,Лесь,Андрійович,Чоловіча,19.09.1979,Мовознавець,селище Ізмаїл,"провулок 7-ма Лінія Дачі Ковалевського, буд. 1, Харків, 63047",+380 59 024-14-00,mariiaiarema@example.com
Ващук,Спас,Михайлович,Чоловіча,12.06.1972,Хореограф,місто Бобровиця,"шосе Сурикова 2-й, буд. 77 кв. 1, Роздільна, 39951",081 043 28 57,hanna11@example.com
Ващук,Пріска,Миколаївна,Жіноча,14.03.2000,Історик,місто Сіверськ,"узвіз Проїзний 2-й, буд. 72 кв. 6, Ірпінь, 31934",516-95-78,bairakiaroslav@example.org
Ващук,Станіслав,Петрович,Чоловіча,17.12.1949,Провізор,селище Острог,"сквер Черешнева, буд. 38 кв. 75, Нетішин, 08585",+380 71 669-19-56,tbabko@example.com
Романенко,Теодор,Олександрович,Чоловіча,06.10.1950,Агроном,хутір Рахів,"площа Баштанна, буд. 111, Ізяслав, 41301",+380 87 804-65-09,opanas60@example.com
Овсієнко,Юстина,Петрівна,Жіноча,20.10.1999,Зоолог,селище Хуст,"провулок Івасюка Володимира, буд. 7, Гірник , 09496",603-85-15,bohuslavtkach@example.com
Оробець,Валентина,Єгорівна,Жіноча,16.09.1940,Лікар,хутір Добропілля,"набережна Авангардна, буд. 3, Новогродівка, 08174",+380 30 524-48-80,obatih@example.org
Скорик,Семен,Єгорович,Чоловіча,12.02.1958,Кур'єр,місто Кобеляки,"парк Астрономічний, буд. 7 кв. 6, Бурштин , 02741",627 72 32,karonets@example.org
Дубина,Арсен,Андрійович,Чоловіча,10.02.1959,Юрист,місто Конотоп,"площа Перемоги, буд. 304, Білицьке, 10379",+380 59 982 55 27,levkosheremet@example.org
Савенко,Едита,Михайлівна,Жіноча,02.04.1972,Кінорежисер,хутір Скадовськ,"набережна Гранатна, буд. 400, Новодністровськ, 51324",+380 80 295-67-91,xbebeshko@example.net
Данилюк,Охрім,Андрійович,Чоловіча,25.03.1961,Кіноактор,хутір Мелітополь,"парк 12-та Лінія 6-й ст. Люстдорфської дороги, буд. 553, Городище , 95821",+380 (21) 392-95-58,liudmylalahoda@example.com
Скоробогатько,Аніта,Єгорівна,Жіноча,29.11.1984,Архітектор,селище Сулимівка (Слов'янськ),"проспект Шовкуненка, буд. 868, Миргород, 15241",+380 52 065-40-43,antonruban@example.com
Харченко,Святослава,Іванівна,Жіноча,21.12.1956,Зоолог,селище Петрово-Красносілля,"шосе Мариністів, буд. 426, Бобровиця, 78175",+380 02 241-00-47,parmentychyna@example.org
Канівець,Азар,Сергійович,Чоловіча,11.08.1973,Кухар,хутір Болехів,"набережна Балтський 1-й, буд. 377, Дніпрорудне, 25288",169-70-39,danylo69@example.com
Ільченко,Герман,Миколайович,Чоловіча,12.09.1986,Петрограф,хутір Алушта,"узвіз Тупиковий 1-й, буд. 50 кв. 7, Великі Мости, 31247",019 383-64-66,cvakarchuk@example.net
